model,iteration,average_prob
Model2,840000,8.81361e-22
Model2,860000,8.82654e-22
Model2,880000,8.83342e-22
Model2,900000,8.78296e-22
Model2,920000,8.75104e-22
Model2,940000,8.81453e-22
Model2,960000,8.77221e-22
Model2,980000,8.76629e-22
Model2,1000000,8.77023e-22
Model2,1020000,8.80429e-22
Model2,1040000,8.78937e-22
Model2,1060000,8.77416e-22
Model2,1080000,8.82601e-22
Model2,1100000,8.80254e-22
Model2,1120000,8.76567e-22
Model2,1140000,8.73842e-22
Model2,1160000,8.76539e-22
Model2,1180000,8.79345e-22
Model2,1200000,8.7728e-22
Model2,1220000,8.7098e-22
Model2,1240000,8.6922e-22
Model2,1260000,8.6639e-22
Model2,1280000,8.62953e-22
Model2,1300000,8.6788e-22
Model2,1320000,8.72511e-22
Model2,1340000,8.7475e-22
Model2,1360000,8.75459e-22
Model2,1380000,8.77996e-22
Model2,1400000,8.72252e-22
Model2,1420000,8.70817e-22
Model2,1440000,8.7802e-22
Model2,1460000,8.74145e-22
Model2,1480000,8.73683e-22
Model2,1500000,8.7173e-22
Model2,1520000,8.77853e-22
Model2,1540000,8.84249e-22
Model2,1560000,8.81236e-22
Model2,1580000,8.77713e-22
Model2,1600000,8.76237e-22
Model2,1620000,8.84374e-22
Model2,1640000,8.905e-22
Model2,1660000,8.86237e-22
Model2,1680000,8.89018e-22
Model2,1700000,8.92216e-22
Model2,1720000,8.89054e-22
Model2,1740000,8.86195e-22
Model2,1760000,8.84241e-22
Model2,1780000,8.83909e-22
Model2,1800000,8.90363e-22
Model2,1820000,8.92161e-22
Model2,1840000,8.89752e-22
Model2,1860000,8.85812e-22
Model2,1880000,8.85969e-22
Model2,1900000,8.89456e-22
Model2,1920000,8.89525e-22
Model2,1940000,8.9685e-22
Model2,1960000,8.95449e-22
Model2,1980000,8.91926e-22
Model2,2000000,8.90682e-22
Model1,20000,3.43147e-41
Model1,40000,3.69602e-41
Model1,60000,3.67337e-41
Model1,80000,3.66621e-41
Model1,100000,3.602e-41
Model1,120000,3.62356e-41
Model1,140000,3.58345e-41
Model1,160000,3.58325e-41
Model1,180000,3.53651e-41
Model1,200000,3.51297e-41
Model1,220000,3.51036e-41
Model1,240000,3.51188e-41
Model1,260000,3.4972e-41
Model1,280000,3.46974e-41
Model1,300000,3.4689e-41
Model1,320000,3.47017e-41
Model1,340000,3.45284e-41
Model1,360000,3.46222e-41
Model1,380000,3.45375e-41
Model1,400000,3.45954e-41
Model1,420000,3.46571e-41
Model1,440000,3.45141e-41
Model1,460000,3.46172e-41
Model1,480000,3.45334e-41
Model1,500000,3.45041e-41
Model1,520000,3.44352e-41
Model1,540000,3.44325e-41
Model1,560000,3.44013e-41
Model1,580000,3.44613e-41
Model1,600000,3.44575e-41
Model1,620000,3.44802e-41
Model1,640000,3.45145e-41
Model1,660000,3.46049e-41
Model1,680000,3.46977e-41
Model1,700000,3.48338e-41
Model1,720000,3.49297e-41
Model1,740000,3.4925e-41
Model1,760000,3.48498e-41
Model1,780000,3.49143e-41
Model1,800000,3.49044e-41
Model1,820000,3.48626e-41
Model1,840000,3.4831e-41
Model1,860000,3.4845e-41
Model1,880000,3.47908e-41
Model1,900000,3.47265e-41
Model1,920000,3.46761e-41
Model1,940000,3.45893e-41
Model1,960000,3.46203e-41
Model1,980000,3.45813e-41
Model1,1000000,3.46008e-41
Model1,1020000,3.46217e-41
Model1,1040000,3.46152e-41
Model1,1060000,3.45947e-41
Model1,1080000,3.45761e-41
Model1,1100000,3.4565e-41
Model1,1120000,3.46109e-41
Model1,1140000,3.46051e-41
Model1,1160000,3.46009e-41
Model1,1180000,3.46051e-41
Model1,1200000,3.4607e-41
Model1,1220000,3.46773e-41
Model1,1240000,3.46791e-41
Model1,1260000,3.46157e-41
Model1,1280000,3.45771e-41
Model1,1300000,3.45724e-41
Model1,1320000,3.45782e-41
Model1,1340000,3.4618e-41
Model1,1360000,3.46396e-41
Model1,1380000,3.46484e-41
Model1,1400000,3.46569e-41
Model1,1420000,3.46327e-41
Model1,1440000,3.46278e-41
Model1,1460000,3.4628e-41
Model1,1480000,3.46336e-41
Model1,1500000,3.46623e-41
Model1,1520000,3.46635e-41
Model1,1540000,3.46896e-41
Model1,1560000,3.46935e-41
Model1,1580000,3.47195e-41
Model1,1600000,3.47589e-41
Model1,1620000,3.4735e-41
Model1,1640000,3.47082e-41
Model1,1660000,3.47378e-41
Model1,1680000,3.47637e-41
Model1,1700000,3.47504e-41
Model1,1720000,3.47348e-41
Model1,1740000,3.47329e-41
Model1,1760000,3.47024e-41
Model1,1780000,3.47206e-41
Model1,1800000,3.47141e-41
Model1,1820000,3.47382e-41
Model1,1840000,3.4697e-41
Model1,1860000,3.468e-41
Model1,1880000,3.46591e-41
Model1,1900000,3.46456e-41
Model1,1920000,3.46314e-41
Model1,1940000,3.46077e-41
